,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
279,9998561,HY188783,03/17/2015 10:40:00 PM,073XX S LANGLEY AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,323,3,6,69,18,1182164.0,1856526.0,2015,02/10/2018 03:50:01 PM,41.76152753,-87.607911483,"(41.76152753, -87.607911483)"
280,9998562,HY188774,03/17/2015 10:58:00 PM,047XX W FULLERTON AVE,0560,ASSAULT,SIMPLE,RESTAURANT,True,False,2522,25,31,19,08A,1144183.0,1915534.0,2015,02/10/2018 03:50:01 PM,41.924248301999995,-87.74563692299999,"(41.924248302, -87.745636923)"
281,9998563,HY188710,03/16/2015 12:01:00 AM,009XX N KEELER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1111,11,37,23,08B,1148212.0,1905896.0,2015,02/10/2018 03:50:01 PM,41.897723948,-87.73108123600001,"(41.897723948, -87.731081236)"
282,9998564,HY188762,03/17/2015 10:25:00 PM,039XX S ARCHER AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),True,False,921,9,12,58,18,1159344.0,1878471.0,2015,02/10/2018 03:50:01 PM,41.822245225,-87.69094812799999,"(41.822245225, -87.690948128)"
283,9998565,HY188694,03/17/2015 09:09:00 PM,051XX S INDIANA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,231,2,3,40,08B,1178482.0,1870543.0,2015,02/10/2018 03:50:01 PM,41.800076008000005,-87.620980656,"(41.800076008, -87.620980656)"
284,9998566,HY188721,03/14/2015 07:00:00 PM,116XX S YALE AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,True,522,5,34,53,02,1176695.0,1827799.0,2015,02/10/2018 03:50:01 PM,41.682821622,-87.628817374,"(41.682821622, -87.628817374)"
285,9998567,HY188771,03/17/2015 03:00:00 PM,038XX S EMERALD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,915,9,11,60,05,1171932.0,1879365.0,2015,02/10/2018 03:50:01 PM,41.824430901,-87.64474207299999,"(41.824430901, -87.644742073)"
286,9998569,HY188766,03/02/2015 02:30:00 PM,059XX N NORTHWEST HWY,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1611,16,41,10,06,1131268.0,1938924.0,2015,02/10/2018 03:50:01 PM,41.988666046,-87.79255043,"(41.988666046, -87.79255043)"
287,9998570,HY188674,03/09/2015 01:00:00 PM,030XX E 80TH ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,422,4,7,46,17,1197664.0,1852503.0,2015,02/10/2018 03:50:01 PM,41.750115408,-87.55123768899999,"(41.750115408, -87.551237689)"
288,9998571,HY188738,03/16/2015 05:00:00 PM,051XX S KEELER AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,815,8,23,57,06,1149235.0,1870167.0,2015,02/10/2018 03:50:01 PM,41.799659256,-87.72824848299999,"(41.799659256, -87.728248483)"
289,9998572,HY188770,03/17/2015 10:22:00 PM,070XX S GREEN ST,2011,NARCOTICS,MANU/DELIVER:BARBITUATES,STREET,True,False,733,7,6,68,18,1171851.0,1858128.0,2015,02/10/2018 03:50:01 PM,41.766156055,-87.645662485,"(41.766156055, -87.645662485)"
290,9998574,HY188798,03/16/2015 10:00:00 AM,027XX S STATE ST,0810,THEFT,OVER $500,APARTMENT,False,False,133,1,3,35,06,1176731.0,1886507.0,2015,02/10/2018 03:50:01 PM,41.843922218,-87.6269207,"(41.843922218, -87.6269207)"
291,9998575,HY188797,03/17/2015 11:15:00 PM,066XX S HALSTED ST,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,True,False,723,7,6,68,26,1172118.0,1860614.0,2015,02/10/2018 03:50:01 PM,41.772972076,-87.644610871,"(41.772972076, -87.644610871)"
292,9998577,HY188801,03/17/2015 11:30:00 PM,018XX W 54TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,932,9,16,61,18,1165056.0,1868886.0,2015,02/10/2018 03:50:01 PM,41.795823774,-87.670264559,"(41.795823774, -87.670264559)"
293,9998578,HY188793,03/17/2015 09:35:00 PM,095XX S STATE ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,511,5,21,49,24,1177973.0,1841788.0,2015,02/10/2018 03:50:01 PM,41.721180629,-87.62371718700001,"(41.721180629, -87.623717187)"
294,9998579,HY188776,03/17/2015 10:55:00 PM,035XX N OKETO AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,1631,16,36,17,08A,1126145.0,1922578.0,2015,02/10/2018 03:50:01 PM,41.943898037,-87.81175982,"(41.943898037, -87.81175982)"
295,9998580,HY188805,03/17/2015 11:15:00 PM,013XX S LOOMIS ST,0560,ASSAULT,SIMPLE,STREET,False,False,1233,12,2,28,08A,1167245.0,1894087.0,2015,02/10/2018 03:50:01 PM,41.864931246,-87.661514673,"(41.864931246, -87.661514673)"
296,9998581,HY188753,03/17/2015 09:40:00 PM,055XX S WOOD ST,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,RESIDENCE,True,False,715,7,15,67,08A,1165295.0,1867882.0,2015,02/10/2018 03:50:01 PM,41.793063613,-87.66941656600001,"(41.793063613, -87.669416566)"
297,9998582,HY188792,03/17/2015 11:10:00 PM,001XX S SPRINGFIELD AVE,2026,NARCOTICS,POSS: PCP,SIDEWALK,True,False,1122,11,28,26,18,1150411.0,1899196.0,2015,02/10/2018 03:50:01 PM,41.879295796,-87.723179465,"(41.879295796, -87.723179465)"
298,9998583,HY188808,03/17/2015 11:40:00 PM,055XX W CORTEZ ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1524,15,37,25,18,1139058.0,1906450.0,2015,02/10/2018 03:50:01 PM,41.899415602,-87.764689843,"(41.899415602, -87.764689843)"
299,9998584,HY188730,03/17/2015 09:35:00 PM,023XX N CLARK ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1814,18,43,7,18,1172939.0,1915937.0,2015,02/10/2018 03:50:01 PM,41.924764729,-87.639963865,"(41.924764729, -87.639963865)"
300,9998585,HY188810,03/17/2015 11:25:00 PM,061XX S ARCHER AVE,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,True,False,811,8,23,56,26,1137711.0,1868195.0,2015,02/10/2018 03:50:01 PM,41.794462581,-87.770558224,"(41.794462581, -87.770558224)"
301,9998586,HY188790,03/17/2015 10:26:00 PM,053XX N CENTRAL AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,False,False,1622,16,45,11,26,1137851.0,1935300.0,2015,02/10/2018 03:50:01 PM,41.978604873,-87.768424914,"(41.978604873, -87.768424914)"
302,9998587,HY188830,03/17/2015 12:00:00 AM,051XX W BLOOMINGDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,False,False,2533,25,37,25,14,1141969.0,1911486.0,2015,02/10/2018 03:50:01 PM,41.913181509,-87.753872676,"(41.913181509, -87.753872676)"
303,9998588,HY188788,03/17/2015 11:00:00 PM,082XX S HERMITAGE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,True,False,614,6,18,71,18,1166111.0,1850124.0,2015,02/10/2018 03:50:01 PM,41.744315965,-87.666928903,"(41.744315965, -87.666928903)"
304,9998589,HY188802,03/17/2015 11:34:00 PM,032XX N ELSTON AVE,0560,ASSAULT,SIMPLE,PARK PROPERTY,True,False,1733,17,33,21,08A,1156379.0,1921724.0,2015,02/10/2018 03:50:01 PM,41.940996001,-87.7006557,"(41.940996001, -87.7006557)"
305,9998590,HY188820,03/18/2015 12:14:00 AM,024XX N CLARK ST,0460,BATTERY,SIMPLE,SIDEWALK,True,False,1935,19,43,7,08B,1172733.0,1916365.0,2015,02/10/2018 03:50:01 PM,41.925943747,-87.64070809,"(41.925943747, -87.64070809)"
306,9998591,HY188817,03/17/2015 11:45:00 PM,022XX S DR MARTIN LUTHER KING JR DR,1330,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,True,False,132,1,2,33,26,1178866.0,1889450.0,2015,02/10/2018 03:50:01 PM,41.851949553000004,-87.618995915,"(41.851949553, -87.618995915)"
307,9998593,HY188815,03/17/2015 11:24:00 PM,002XX N CENTRAL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,True,False,1512,15,29,25,18,1139002.0,1901136.0,2015,02/10/2018 03:50:01 PM,41.884834341,-87.76502481200001,"(41.884834341, -87.765024812)"
308,9998594,HY188777,03/17/2015 10:32:00 PM,078XX S KEDZIE AVE,0560,ASSAULT,SIMPLE,STREET,True,False,835,8,18,70,08A,1156414.0,1852169.0,2015,02/10/2018 03:50:01 PM,41.750128361,-87.70240513799999,"(41.750128361, -87.702405138)"
309,9998595,HY188819,03/17/2015 11:48:00 AM,027XX S KOSTNER AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,True,False,1031,10,22,30,26,1147502.0,1885466.0,2015,02/10/2018 03:50:01 PM,41.841675216,-87.73421273299999,"(41.841675216, -87.734212733)"
310,9998597,HY188812,03/17/2015 11:40:00 PM,046XX N CLIFTON AVE,0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,STREET,True,False,1913,19,46,3,04A,1167677.0,1930933.0,2015,02/10/2018 03:50:01 PM,41.966029543000005,-87.65886507200001,"(41.966029543, -87.658865072)"
